"Date","Anger","Anticipation","Disgust","Fear","Joy","Sadness","Surprise","Trust","Negative","Positive","y"
"2010-06-03",16,6,9,17,4,12,4,9,23,15,1
"2010-06-04",20,7,7,21,6,13,8,16,28,23,0
"2010-06-07",9,7,8,17,4,15,5,9,25,17,0
"2010-06-08",13,11,7,28,8,13,8,17,27,24,1
"2010-06-09",10,14,4,18,10,11,8,22,24,31,0
"2010-06-10",18,12,11,22,5,15,4,18,31,24,1
"2010-06-11",12,16,4,18,8,19,5,11,23,17,1
"2010-06-14",12,10,2,17,7,9,3,12,19,19,0
"2010-06-15",9,9,7,13,6,7,2,15,24,21,1
"2010-06-16",15,12,11,19,6,10,5,16,27,20,1
"2010-06-17",10,6,4,11,4,4,3,17,17,18,1
"2010-06-18",18,13,16,24,7,18,7,18,34,25,1
"2010-06-21",11,17,5,13,11,11,8,17,24,24,0
"2010-06-22",15,12,9,14,5,12,7,15,24,19,0
"2010-06-23",13,10,6,16,5,14,8,19,25,20,1
"2010-06-24",12,12,3,15,10,15,4,16,21,28,0
"2010-06-25",9,10,3,14,10,10,4,18,24,23,0
"2010-06-28",16,14,5,17,13,7,7,24,22,26,0
"2010-06-29",12,9,5,15,7,9,8,17,25,19,0
"2010-06-30",13,13,10,21,9,15,5,22,36,27,0
"2010-07-01",5,13,2,11,10,7,4,20,15,29,0
"2010-07-02",17,8,6,20,8,13,2,13,32,20,0
"2010-07-06",17,9,9,19,10,8,5,19,23,26,1
"2010-07-07",14,13,10,22,5,16,4,17,28,22,1
"2010-07-08",20,12,14,21,6,19,7,16,34,19,1
"2010-07-09",11,7,7,8,4,8,4,15,19,16,1
"2010-07-12",19,13,5,23,5,11,6,11,30,18,1
"2010-07-13",15,14,8,25,5,16,6,20,24,28,1
"2010-07-14",15,11,11,15,6,12,5,23,28,26,1
"2010-07-15",21,20,10,23,17,14,8,29,28,37,0
"2010-07-16",18,20,8,22,10,13,7,18,32,25,0
"2010-07-19",10,14,5,10,11,6,6,24,19,29,1
"2010-07-20",10,22,6,17,14,9,3,26,17,30,1
"2010-07-21",18,14,8,23,9,13,9,19,26,22,0
"2010-07-22",8,9,5,11,4,6,5,15,19,24,1
"2010-07-23",15,7,9,22,7,12,5,14,32,18,1
"2010-07-26",19,5,6,24,6,15,5,20,27,24,1
"2010-07-27",16,11,3,21,10,9,4,19,27,24,1
"2010-07-28",22,15,13,29,7,19,6,18,40,20,0
"2010-07-29",15,10,4,18,7,5,3,23,22,21,0
"2010-07-30",12,10,10,21,8,12,3,19,26,24,0
"2010-08-02",14,6,6,18,7,14,6,11,31,21,1
"2010-08-03",18,11,6,19,8,12,4,16,29,26,0
"2010-08-04",12,7,7,10,3,6,3,11,21,12,1
"2010-08-05",7,12,6,16,7,12,5,15,23,24,0
"2010-08-06",16,13,8,15,10,13,9,12,23,18,0
"2010-08-09",11,9,5,21,5,12,2,14,24,18,1
"2010-08-10",17,6,13,26,3,20,6,14,34,15,0
"2010-08-11",8,8,4,12,11,3,4,16,16,26,0
"2010-08-12",20,9,8,22,2,12,7,8,26,19,0
"2010-08-13",15,11,10,20,9,15,3,16,23,17,0
"2010-08-16",12,8,3,13,3,5,2,14,17,16,0
"2010-08-17",18,9,8,17,4,11,4,13,23,16,1
"2010-08-18",12,7,2,11,5,7,7,10,17,18,1
"2010-08-19",12,8,8,13,3,9,0,14,20,18,0
"2010-08-20",13,5,9,19,4,13,2,10,20,20,0
"2010-08-23",9,8,5,17,8,5,6,19,17,21,0
"2010-08-24",19,9,8,18,5,9,6,15,27,17,0
"2010-08-25",13,9,4,23,7,11,2,16,30,19,1
"2010-08-26",10,8,6,17,6,10,4,8,17,12,0
"2010-08-27",6,10,4,15,8,8,2,11,15,19,1
"2010-08-30",12,8,4,16,2,8,5,12,20,14,0
"2010-08-31",10,8,3,14,4,9,4,16,25,20,1
"2010-09-01",15,7,7,20,5,14,6,10,29,25,1
"2010-09-02",10,11,4,17,3,6,5,17,24,24,1
"2010-09-03",17,13,5,15,10,9,5,21,25,25,1
"2010-09-07",15,16,7,24,10,13,4,19,29,24,0
"2010-09-08",10,9,4,15,7,9,5,15,27,17,1
"2010-09-09",10,8,6,14,12,9,6,16,17,22,1
"2010-09-10",20,11,11,23,5,18,7,18,41,17,1
"2010-09-13",11,6,6,15,4,9,1,6,26,16,1
"2010-09-14",13,14,7,16,7,9,1,18,20,23,0
"2010-09-15",8,6,2,7,3,9,3,11,20,15,1
"2010-09-16",14,15,5,19,6,8,10,17,21,27,1
"2010-09-17",12,10,6,23,6,11,5,21,28,26,1
"2010-09-20",22,9,6,24,4,16,5,20,34,37,1
"2010-09-21",7,18,4,11,11,5,5,19,18,33,1
"2010-09-22",17,10,7,25,6,10,6,17,25,20,0
"2010-09-23",10,5,5,18,4,9,5,18,25,17,0
"2010-09-24",11,14,7,18,7,11,6,14,25,24,1
"2010-09-27",11,14,7,16,5,12,2,11,26,18,0
"2010-09-28",12,10,7,22,3,13,3,10,24,14,1
"2010-09-29",12,9,5,16,6,7,6,11,21,17,0
"2010-09-30",10,11,6,17,6,9,5,14,21,20,0
"2010-10-01",11,14,6,21,9,10,9,14,25,25,1
"2010-10-04",15,9,8,19,11,11,4,16,31,21,0
"2010-10-05",13,13,8,19,8,14,8,17,33,23,1
"2010-10-06",14,14,10,18,11,12,8,20,31,37,1
"2010-10-07",12,10,9,18,4,10,3,13,30,24,0
"2010-10-08",17,14,8,21,8,10,5,19,29,27,1
"2010-10-11",19,20,13,23,18,13,14,34,30,41,1
"2010-10-12",20,15,11,27,12,16,9,26,30,26,1
"2010-10-13",16,9,11,23,9,15,5,19,29,27,1
"2010-10-14",15,8,7,19,11,17,7,31,31,31,0
"2010-10-15",9,8,4,14,8,11,2,12,21,22,0
"2010-10-18",21,11,8,22,6,10,11,12,31,11,1
"2010-10-19",19,15,7,17,12,13,6,22,28,34,0
"2010-10-20",17,6,8,15,4,14,1,13,25,27,1
"2010-10-21",15,11,7,14,6,9,6,16,24,30,1
"2010-10-22",12,12,5,17,9,9,2,10,24,18,0
"2010-10-25",13,11,7,22,5,15,5,12,23,12,1
"2010-10-26",16,11,10,23,8,16,5,16,27,27,1
"2010-10-27",10,14,6,18,9,14,8,23,28,29,0
"2010-10-28",8,7,7,18,2,7,3,15,22,14,0
"2010-10-29",19,14,11,24,4,17,8,15,28,17,1
"2010-11-01",20,14,11,29,10,19,8,20,32,27,1
"2010-11-02",15,8,14,20,8,14,9,19,34,31,1
"2010-11-03",10,10,4,19,8,7,7,12,27,13,1
"2010-11-04",19,14,12,34,7,18,12,13,32,18,1
"2010-11-05",20,14,9,22,10,16,7,12,30,24,1
"2010-11-08",17,14,4,23,5,14,6,16,32,24,0
"2010-11-09",13,13,6,18,7,11,4,17,28,27,0
"2010-11-10",12,6,7,17,6,8,4,20,25,25,1
"2010-11-11",16,17,6,21,11,10,8,17,28,32,0
"2010-11-12",13,13,7,14,7,10,3,13,22,19,0
"2010-11-15",12,12,9,21,6,15,4,15,23,14,1
"2010-11-16",14,13,10,21,5,11,4,12,22,24,0
"2010-11-17",15,10,10,17,9,12,10,18,29,21,0
"2010-11-18",9,5,5,13,5,12,5,8,25,9,1
"2010-11-19",13,10,6,13,5,7,4,9,27,18,1
"2010-11-22",11,13,8,18,9,13,7,14,24,21,0
"2010-11-23",7,9,4,13,4,7,2,11,18,16,0
"2010-11-24",10,11,5,14,3,8,5,15,19,18,1
"2010-11-26",17,13,6,18,6,10,4,15,23,22,0
"2010-11-29",19,16,10,31,3,21,10,19,41,24,0
"2010-11-30",11,11,8,19,5,11,11,8,23,19,0
"2010-12-01",10,9,6,11,6,4,3,13,20,17,1
"2010-12-02",6,10,5,18,4,6,5,19,20,22,1
"2010-12-03",12,6,4,14,3,5,6,14,18,11,1
"2010-12-06",21,13,10,29,3,15,5,23,34,18,0
"2010-12-07",13,8,12,16,9,16,7,17,30,22,0
"2010-12-08",6,13,6,11,9,6,4,21,19,23,1
"2010-12-09",15,12,3,15,8,7,10,25,30,27,0
"2010-12-10",9,7,7,10,5,12,4,20,20,18,1
"2010-12-13",11,12,3,18,9,8,6,16,22,20,1
"2010-12-14",9,8,4,17,7,11,5,16,25,22,1
"2010-12-15",9,7,3,15,5,9,3,23,24,27,0
"2010-12-16",17,6,5,23,5,14,3,12,32,15,1
"2010-12-17",11,6,4,20,6,11,3,19,29,20,0
"2010-12-20",15,10,6,25,8,8,4,18,32,26,0
"2010-12-21",17,10,7,18,4,11,6,14,24,22,1
"2010-12-22",12,8,7,19,4,12,5,15,18,14,1
"2010-12-23",12,11,7,21,8,16,7,21,30,24,1
"2010-12-27",17,12,10,22,7,12,6,22,39,28,0
"2010-12-28",19,11,8,22,2,13,8,15,33,20,1
"2010-12-29",15,14,5,19,7,7,4,20,25,25,1
"2010-12-30",13,8,6,16,10,11,6,15,24,24,0
"2010-12-31",14,18,12,29,11,8,6,22,29,28,1
"2011-01-03",13,9,8,18,4,11,8,12,24,22,1
"2011-01-04",8,11,3,23,5,11,7,15,21,20,1
"2011-01-05",9,11,6,17,5,11,4,20,27,29,1
"2011-01-06",13,10,11,21,6,13,8,10,26,21,0
"2011-01-07",13,15,4,16,10,13,8,22,30,26,0
"2011-01-10",14,16,8,19,9,8,8,22,20,37,0
"2011-01-11",13,7,6,21,8,14,5,12,24,19,1
"2011-01-12",18,10,9,22,5,15,8,16,33,23,1
"2011-01-13",11,9,7,12,9,7,6,19,17,23,0
"2011-01-14",5,18,3,12,9,6,7,19,15,30,1
"2011-01-18",16,14,7,20,7,12,5,15,23,23,1
"2011-01-19",7,9,4,10,6,10,6,20,18,20,0
"2011-01-20",19,17,10,27,10,12,9,19,32,29,0
"2011-01-21",17,9,6,21,4,14,3,15,34,23,1
"2011-01-24",12,11,4,10,7,4,6,9,14,24,1
"2011-01-25",9,8,4,15,5,8,6,12,20,13,0
"2011-01-26",10,4,4,15,2,6,1,12,19,14,1
"2011-01-27",16,9,7,19,3,10,7,14,24,17,1
"2011-01-28",7,7,2,12,0,5,2,5,13,7,0
"2011-01-31",11,15,3,15,7,9,7,9,19,19,1
"2011-02-01",8,11,3,14,5,9,4,11,18,20,1
"2011-02-02",12,9,5,18,6,5,5,16,20,18,1
"2011-02-03",17,13,8,18,6,12,4,15,25,23,1
"2011-02-04",11,12,4,18,5,10,5,14,22,20,1
"2011-02-07",12,10,7,11,7,13,5,17,19,21,1
"2011-02-08",8,11,2,13,4,8,6,11,15,12,1
"2011-02-09",15,9,4,21,5,15,6,9,30,14,1
"2011-02-10",13,14,4,14,11,10,9,15,21,29,0
"2011-02-11",8,12,1,12,3,6,4,14,16,22,1
"2011-02-14",9,12,3,13,7,5,3,14,17,21,0
"2011-02-15",14,7,8,20,1,14,5,7,25,11,0
"2011-02-16",15,8,5,14,6,9,6,14,27,18,1
"2011-02-17",16,6,8,23,5,10,5,12,26,18,1
"2011-02-18",15,7,9,22,4,12,3,10,24,16,1
"2011-02-22",13,7,6,17,5,10,5,13,18,24,0
"2011-02-23",11,8,2,15,5,7,6,9,17,17,0
"2011-02-24",11,10,5,12,8,8,9,10,22,20,0
"2011-02-25",16,7,7,16,5,8,7,8,19,16,1
"2011-02-28",13,10,5,17,12,10,5,11,23,22,1
"2011-03-01",14,14,4,17,11,5,5,15,23,31,0
"2011-03-02",13,8,7,19,4,8,5,15,27,22,1
"2011-03-03",21,10,3,21,7,9,5,8,25,21,1
"2011-03-04",18,8,13,23,7,20,8,16,33,17,0
"2011-03-07",8,6,2,11,5,6,4,14,17,19,0
"2011-03-08",18,12,7,21,7,13,1,14,29,22,1
"2011-03-09",19,6,9,24,4,13,8,13,27,17,0
"2011-03-10",13,8,2,12,6,8,1,12,18,16,0
"2011-03-11",8,4,3,16,2,4,3,6,14,11,1
"2011-03-14",15,12,5,24,3,11,9,16,25,21,0
"2011-03-15",14,8,5,23,8,13,11,17,30,28,0
"2011-03-16",17,13,8,27,6,19,10,20,33,25,0
"2011-03-17",14,14,3,20,7,7,7,15,22,23,1
"2011-03-18",11,7,4,17,5,11,7,8,26,25,1
"2011-03-21",12,5,3,18,2,11,8,12,21,13,1
"2011-03-22",15,9,8,26,9,18,7,23,30,30,0
"2011-03-23",15,13,7,25,9,16,13,18,30,25,1
"2011-03-24",10,4,4,20,3,13,5,11,25,19,1
"2011-03-25",7,8,5,15,4,7,6,9,19,15,1
"2011-03-28",20,6,11,25,3,21,5,8,41,12,0
"2011-03-29",10,10,6,15,5,12,7,15,21,21,1
"2011-03-30",8,9,4,18,4,10,7,9,22,18,1
"2011-03-31",12,11,4,15,7,9,5,13,20,26,0
"2011-04-01",10,8,3,11,7,13,5,19,20,24,1
"2011-04-04",5,13,0,13,7,3,2,21,18,29,1
"2011-04-05",12,9,7,17,6,14,8,18,26,22,0
"2011-04-06",11,9,3,21,6,11,5,18,22,23,1
"2011-04-07",9,9,2,20,5,10,6,17,28,22,0
"2011-04-08",11,11,6,9,7,8,5,16,23,24,0
"2011-04-11",7,6,1,11,5,7,3,14,19,18,1
"2011-04-12",10,7,4,16,5,10,4,12,22,17,0
"2011-04-13",8,8,4,17,7,13,4,16,24,18,1
"2011-04-14",11,7,3,22,3,8,4,9,23,16,1
"2011-04-15",17,7,7,23,4,16,6,11,27,17,1
"2011-04-18",10,10,3,14,7,9,6,13,19,25,0
"2011-04-19",13,7,10,18,5,9,5,11,23,14,1
"2011-04-20",14,8,4,22,5,13,4,17,19,17,1
"2011-04-21",8,3,1,13,4,3,3,8,20,9,1
"2011-04-25",11,12,6,20,6,8,6,16,21,18,0
"2011-04-26",25,12,9,33,10,22,11,20,40,28,1
"2011-04-27",8,9,1,17,5,8,4,13,20,17,1
"2011-04-28",14,11,5,22,8,9,8,15,25,24,1
"2011-04-29",15,11,8,12,7,7,6,13,26,16,1
"2011-05-02",11,8,4,23,4,9,5,12,24,20,0
"2011-05-03",10,13,6,18,11,11,5,19,21,17,1
"2011-05-04",12,5,2,15,3,9,5,11,21,11,0
"2011-05-05",14,5,3,19,3,9,7,8,26,14,0
"2011-05-06",16,12,5,19,9,11,7,22,27,23,1
"2011-05-09",19,13,11,25,9,17,9,19,34,23,1
"2011-05-10",15,23,6,18,7,10,10,16,29,29,1
"2011-05-11",16,9,11,21,7,12,7,15,28,24,0
"2011-05-12",14,10,10,18,5,11,3,10,28,20,1
"2011-05-13",15,8,6,23,3,16,5,10,29,15,0
"2011-05-16",5,6,5,11,4,4,3,9,17,17,0
"2011-05-17",14,12,6,22,6,13,9,14,24,27,0
"2011-05-18",13,19,2,21,12,12,9,19,25,29,1
"2011-05-19",8,6,2,13,4,5,1,10,14,13,1
"2011-05-20",8,12,3,13,7,6,6,12,15,18,0
"2011-05-23",17,13,8,24,7,15,6,16,28,19,0
"2011-05-24",17,10,6,25,2,12,8,14,25,16,0
"2011-05-25",13,11,7,17,7,11,11,18,25,20,1
"2011-05-26",7,11,7,13,8,9,2,22,27,26,1
"2011-05-27",14,7,5,21,2,13,6,11,27,13,1
"2011-05-31",7,9,6,16,4,6,5,11,19,17,1
"2011-06-01",19,18,11,24,14,21,9,15,33,28,0
"2011-06-02",17,8,8,27,5,16,5,15,30,18,0
"2011-06-03",12,9,6,15,8,14,6,12,23,16,0
"2011-06-06",11,13,7,19,6,9,4,12,22,15,0
"2011-06-07",8,11,7,12,7,6,5,15,18,21,0
"2011-06-08",8,3,2,15,3,6,3,15,24,15,0
"2011-06-09",8,5,7,16,5,10,5,14,28,16,1
"2011-06-10",8,5,2,11,2,3,2,16,16,15,0
"2011-06-13",14,6,4,11,4,11,6,8,22,12,1
"2011-06-14",17,10,6,23,10,12,6,17,31,24,1
"2011-06-15",18,12,10,20,7,13,5,17,29,19,0
"2011-06-16",12,10,4,19,9,9,5,19,23,24,1
"2011-06-17",10,3,1,17,3,8,4,10,20,13,1
"2011-06-20",18,9,8,20,2,9,7,16,27,22,1
"2011-06-21",10,10,1,17,6,7,4,18,19,20,1
"2011-06-22",12,8,5,21,4,10,4,13,24,15,0
"2011-06-23",23,7,15,24,6,19,7,14,34,22,0
"2011-06-24",12,8,4,16,8,7,1,20,19,23,0
"2011-06-27",14,12,3,18,8,10,3,21,31,26,1
"2011-06-28",22,12,8,22,4,11,7,14,35,23,1
"2011-06-29",15,7,4,16,5,9,6,7,27,16,1
"2011-06-30",9,6,5,15,2,7,3,8,21,13,1
"2011-07-01",7,9,2,13,4,9,3,11,18,15,1
"2011-07-05",24,9,6,27,3,16,4,15,34,18,0
"2011-07-06",8,9,2,9,7,3,2,15,20,19,1
"2011-07-07",14,11,7,19,4,11,5,14,25,20,1
"2011-07-08",16,9,10,20,5,12,4,17,26,15,0
"2011-07-11",14,6,5,19,3,7,6,13,31,18,0
"2011-07-12",11,16,6,16,7,11,6,21,23,27,0
"2011-07-13",10,12,7,23,8,15,6,15,21,21,1
"2011-07-14",9,9,4,9,6,5,4,17,18,22,0
"2011-07-15",9,8,2,14,3,6,2,12,19,10,1
"2011-07-18",9,12,6,11,7,6,6,15,17,25,0
"2011-07-19",6,12,5,10,8,8,6,12,16,23,1
"2011-07-20",20,15,10,20,10,16,6,19,32,28,0
"2011-07-21",10,8,5,17,4,7,3,15,18,20,1
"2011-07-22",12,3,4,18,2,9,6,8,23,11,0
"2011-07-25",20,10,10,24,8,10,11,18,29,22,0
"2011-07-26",22,16,10,26,9,14,7,16,35,26,0
"2011-07-27",15,11,6,15,6,8,6,16,22,25,0
"2011-07-28",14,6,7,14,3,13,5,14,24,20,0
"2011-07-29",10,12,6,15,10,10,5,17,23,23,0
"2011-08-01",15,5,8,19,2,14,6,6,23,11,0
"2011-08-02",14,9,7,21,5,12,5,12,30,23,0
"2011-08-03",12,11,6,18,4,14,7,13,28,20,1
"2011-08-04",13,10,7,18,5,12,8,18,26,15,0
"2011-08-05",13,5,4,15,3,9,5,12,28,20,1
"2011-08-08",10,8,2,15,5,12,4,12,23,18,0
"2011-08-09",8,5,2,17,3,8,2,11,17,12,1
"2011-08-10",10,3,5,11,1,9,2,8,23,12,0
"2011-08-11",19,9,6,27,5,12,6,13,28,20,1
"2011-08-12",18,11,11,25,9,15,7,13,30,27,1
"2011-08-15",8,3,4,12,4,4,2,13,23,13,1
"2011-08-16",9,7,4,17,3,5,2,12,23,16,0
"2011-08-17",21,15,8,28,9,18,9,18,34,31,1
"2011-08-18",19,14,6,22,10,14,7,22,32,37,0
"2011-08-19",21,12,8,27,8,16,7,13,26,22,0
"2011-08-22",12,7,6,13,2,7,3,6,19,11,1
"2011-08-23",9,9,4,10,7,8,5,15,21,27,1
"2011-08-24",13,9,5,21,5,14,4,19,26,30,1
"2011-08-25",12,6,8,16,3,11,4,10,22,13,0
"2011-08-26",18,12,6,27,4,12,8,15,32,24,1
"2011-08-29",12,11,6,19,7,11,5,13,24,19,1
"2011-08-30",20,15,5,21,6,11,7,16,29,27,1
"2011-08-31",14,12,6,19,9,10,8,16,26,23,1
"2011-09-01",8,12,7,12,10,18,7,22,27,32,0
"2011-09-02",11,7,4,14,10,6,7,16,17,22,0
"2011-09-06",9,9,5,14,5,7,5,20,24,24,0
"2011-09-07",15,8,7,19,6,12,4,20,20,22,1
"2011-09-08",16,12,12,27,9,14,9,23,36,31,0
"2011-09-09",16,11,6,21,6,14,5,19,29,20,0
"2011-09-12",13,7,10,20,7,11,5,17,21,18,1
"2011-09-13",15,10,13,23,7,16,4,15,31,25,1
"2011-09-14",21,15,12,29,10,22,11,17,35,27,1
"2011-09-15",10,12,5,17,5,13,6,16,31,28,1
"2011-09-16",17,9,10,17,11,13,4,23,24,27,1
"2011-09-19",17,16,6,20,8,10,8,24,25,25,0
"2011-09-20",13,15,5,14,7,7,9,16,20,24,1
"2011-09-21",20,12,8,21,5,16,10,11,35,13,0
"2011-09-22",13,16,7,21,10,14,5,18,29,28,0
"2011-09-23",13,7,8,14,4,12,3,14,29,13,1
"2011-09-26",12,15,8,19,9,13,5,21,26,29,1
"2011-09-27",13,11,11,23,6,14,7,12,27,20,1
"2011-09-28",17,9,13,19,6,14,5,15,30,17,0
"2011-09-29",11,11,6,16,7,12,3,16,21,28,1
"2011-09-30",15,13,8,25,6,16,7,18,25,23,0
"2011-10-03",16,9,4,18,9,12,3,22,29,21,0
"2011-10-04",17,9,9,20,7,19,10,13,28,23,1
"2011-10-05",9,7,4,12,3,5,1,11,15,17,1
"2011-10-06",18,10,6,21,5,14,8,16,27,17,1
"2011-10-07",20,9,9,28,5,14,4,17,42,21,0
"2011-10-10",25,10,12,30,9,21,10,16,38,19,1
"2011-10-11",7,9,5,18,3,11,2,9,18,17,0
"2011-10-12",18,14,11,24,5,15,5,15,30,22,1
"2011-10-13",19,17,5,25,10,16,11,17,32,20,0
"2011-10-14",19,15,7,22,8,13,9,20,24,29,1
"2011-10-17",17,13,10,18,8,17,5,16,31,23,0
"2011-10-18",15,11,9,20,5,18,3,10,30,28,1
"2011-10-19",8,8,8,18,4,8,5,14,21,16,0
"2011-10-20",10,13,5,16,11,10,6,26,23,39,1
"2011-10-21",14,13,9,16,8,9,7,17,21,19,1
"2011-10-24",10,8,3,16,6,7,7,15,20,22,1
"2011-10-25",8,9,5,13,5,8,1,15,16,22,0
"2011-10-26",16,9,8,22,5,11,3,13,28,26,1
"2011-10-27",11,8,6,16,5,11,3,12,20,20,1
"2011-10-28",10,11,7,17,6,6,2,17,20,18,1
"2011-10-31",9,11,3,12,5,6,4,14,16,17,0
"2011-11-01",10,9,5,18,5,11,5,11,22,15,0
"2011-11-02",9,10,1,17,4,9,7,10,20,19,1
"2011-11-03",18,20,10,29,10,20,7,16,37,26,1
"2011-11-04",8,12,6,21,11,13,4,19,24,25,0
"2011-11-07",15,8,4,17,4,14,7,14,34,27,1
"2011-11-08",17,14,10,22,6,12,7,16,35,17,1
"2011-11-09",15,13,8,23,6,17,8,11,33,20,0
"2011-11-10",18,15,3,19,3,11,3,16,29,23,1
"2011-11-11",19,10,7,19,5,13,7,16,37,17,1
"2011-11-14",14,8,6,27,6,13,7,13,29,22,0
"2011-11-15",6,11,4,12,2,6,3,15,20,14,1
"2011-11-16",10,8,3,13,5,10,5,14,20,19,0
"2011-11-17",16,9,10,20,8,9,6,25,32,31,0
"2011-11-18",9,6,2,9,2,8,3,15,21,16,1
"2011-11-21",16,7,9,24,4,18,6,22,32,28,0
"2011-11-22",17,16,8,24,8,15,7,26,26,34,0
"2011-11-23",13,12,8,22,4,18,6,13,36,31,0
"2011-11-25",11,10,8,13,4,11,4,17,22,19,0
"2011-11-28",15,17,5,15,11,12,8,18,31,27,1
"2011-11-29",13,8,5,20,5,12,3,19,27,23,1
"2011-11-30",16,13,5,19,14,8,11,24,21,34,1
"2011-12-01",21,9,8,25,6,19,8,23,37,19,0
"2011-12-02",20,11,6,28,7,10,6,16,38,21,0
"2011-12-05",19,14,4,22,12,18,6,21,35,33,1
"2011-12-06",14,13,4,23,10,14,7,19,27,25,1
"2011-12-07",12,10,2,16,4,8,5,14,26,18,1
"2011-12-08",22,9,7,27,7,12,11,15,29,22,0
"2011-12-09",12,4,10,18,2,11,4,9,31,12,1
"2011-12-12",14,9,9,22,9,11,6,25,25,25,0
"2011-12-13",12,5,6,14,1,8,3,9,24,16,0
"2011-12-14",25,9,10,29,3,13,7,17,37,16,0
"2011-12-15",14,4,6,21,3,9,2,20,28,19,1
"2011-12-16",6,13,6,13,5,6,3,13,20,25,0
"2011-12-19",11,5,4,17,5,9,4,13,16,15,0
"2011-12-20",18,15,9,22,5,10,5,18,30,30,1
"2011-12-21",13,11,6,15,5,11,2,9,22,13,1
"2011-12-22",12,17,5,23,9,15,8,25,33,29,1
"2011-12-23",18,14,8,23,5,13,2,11,27,18,1
"2011-12-27",14,6,4,14,2,10,6,5,19,12,0
"2011-12-28",11,9,8,20,5,10,3,17,23,22,0
"2011-12-29",10,9,7,18,2,14,5,17,23,26,1
"2011-12-30",14,5,9,21,2,12,7,9,25,19,0
"2012-01-03",13,8,9,22,6,12,5,16,27,26,1
"2012-01-04",18,7,13,20,3,13,4,17,34,21,1
"2012-01-05",15,7,9,24,4,9,4,15,36,18,0
"2012-01-06",13,5,7,21,2,9,3,8,25,8,0
"2012-01-09",14,15,6,18,7,12,4,21,22,25,1
"2012-01-10",12,15,6,19,8,11,4,14,21,25,1
"2012-01-11",19,15,10,28,4,21,6,15,35,24,0
"2012-01-12",12,10,5,18,9,14,4,12,29,18,1
"2012-01-13",16,8,9,19,4,15,7,9,24,17,0
"2012-01-17",11,15,6,18,3,12,4,8,26,22,1
"2012-01-18",11,11,2,13,7,9,3,16,28,21,1
"2012-01-19",12,4,5,15,1,8,2,8,24,18,1
"2012-01-20",13,5,7,17,0,16,3,10,23,15,1
"2012-01-23",20,14,11,21,11,18,7,27,34,23,0
"2012-01-24",12,8,6,18,4,10,7,17,22,13,0
"2012-01-25",18,12,8,21,8,12,5,18,32,22,1
"2012-01-26",13,10,5,16,6,10,3,10,24,16,0
"2012-01-27",13,9,5,19,5,16,6,15,29,19,0
"2012-01-30",14,7,7,15,9,13,5,14,20,21,0
"2012-01-31",10,11,5,11,5,9,3,12,20,12,0
"2012-02-01",16,15,7,19,8,20,5,20,32,20,1
"2012-02-02",10,9,0,9,8,6,1,11,20,22,0
"2012-02-03",17,8,9,25,3,10,6,13,28,21,1
"2012-02-06",14,9,8,19,5,7,2,16,24,19,0
"2012-02-07",14,15,8,18,6,11,11,10,31,25,1
"2012-02-08",7,14,3,13,4,8,3,16,23,25,1
"2012-02-09",16,11,10,23,10,13,7,12,32,21,1
"2012-02-10",8,12,4,10,5,7,3,13,19,16,0
"2012-02-13",18,13,7,18,6,12,10,16,26,23,1
"2012-02-14",19,9,3,24,7,13,6,13,36,23,1
"2012-02-15",17,10,11,20,3,14,2,14,24,9,0
"2012-02-16",13,13,8,18,8,9,2,20,19,24,1
"2012-02-17",18,8,10,18,3,13,5,6,33,14,1
"2012-02-21",25,10,13,26,3,18,6,14,40,21,1
"2012-02-22",9,6,4,15,4,9,3,12,13,14,0
"2012-02-23",13,16,8,16,11,15,9,15,21,15,1
"2012-02-24",16,17,5,27,8,17,8,16,39,25,0
"2012-02-27",18,10,7,27,6,17,9,14,30,22,0
"2012-02-28",11,14,8,16,8,13,3,16,24,18,1
"2012-02-29",11,15,6,15,8,4,8,14,22,23,0
"2012-03-01",20,10,9,26,9,15,5,17,35,24,1
"2012-03-02",21,13,11,24,14,12,10,20,30,31,0
"2012-03-05",15,10,10,24,6,16,5,19,33,22,0
"2012-03-06",14,12,8,17,8,10,6,10,27,17,0
"2012-03-07",20,16,7,29,11,15,11,14,32,21,1
"2012-03-08",21,17,9,24,11,12,12,19,25,24,1
"2012-03-09",15,8,3,17,8,9,5,11,23,22,1
"2012-03-12",17,16,5,20,9,11,3,14,28,19,1
"2012-03-13",16,6,5,24,4,12,1,8,29,10,1
"2012-03-14",10,14,7,24,6,12,11,19,30,31,1
"2012-03-15",20,15,11,21,10,15,5,19,40,26,1
"2012-03-16",21,14,8,26,6,12,9,19,37,38,0
"2012-03-19",10,9,4,19,8,6,4,22,19,27,1
"2012-03-20",15,14,4,16,9,12,4,17,24,26,0
"2012-03-21",12,14,6,20,7,8,6,17,20,26,0
"2012-03-22",22,10,9,27,5,10,6,13,33,16,0
"2012-03-23",18,9,12,22,5,11,9,14,24,20,1
"2012-03-26",6,11,2,10,6,7,5,18,16,28,1
"2012-03-27",14,13,3,20,4,11,7,14,25,24,0
"2012-03-28",19,15,10,18,11,17,5,21,34,23,0
"2012-03-29",17,3,8,24,3,13,0,11,25,18,1
"2012-03-30",15,13,9,21,8,10,5,13,25,17,1
"2012-04-02",15,11,6,20,6,12,5,12,26,18,1
"2012-04-03",10,9,6,11,8,9,5,21,22,27,0
